id,company_id,total_questionnaires,total_questionnaires_completed,is_met_criteria
172cd051-ce06-49a1-80dc-df5e803f8d79,5,6,6,True
108ab550-298e-427c-a4a3-e9a5983ec32c,5,6,6,True
54273e2a-924d-427d-9d50-0386a9c84ce8,5,6,6,True
9f0618b1-0b60-4149-aef2-c8cc3054b1e2,5,6,6,True
738ef2ea-8e33-4cd8-9e61-6b2168c48cc3,5,6,6,True
b8b527c6-b7b0-461d-b63c-ffe17c54aa48,5,6,6,True
350f9fcf-9297-40cd-9818-985a05a2046f,5,6,6,True
02e4fe37-4222-424e-88bf-b483d304908f,5,6,6,True
b8edcbe5-d9a3-4e3c-baa9-92c4937e2d2f,5,6,6,True
595000df-3d69-43b1-b49b-d4e8ad20233b,5,6,6,True
cacca151-efb4-432c-8570-5e28ff0d1f4f,5,6,6,True
d5a7882a-5832-4174-bd24-35171a46dc75,5,6,6,True
b0f13860-3018-4290-a9ad-841c55b93e63,5,6,6,True
ce764592-afcc-4f14-9a74-08d25b0637ed,5,6,6,True
ed812647-777f-4703-9ef7-959442e97f9b,5,6,6,True
ca8b4b98-c149-4800-b9e0-1522281ad679,5,6,6,True
b18d199d-7b5b-4963-a236-4ff121bf7ceb,5,6,6,True
f8af8aa0-f0b6-40fe-98b9-cd209e46d3de,5,6,6,True
76b245df-1070-46d2-98e4-451d8dc6fa89,5,6,6,True
9fb0a4e5-f721-49e8-8e09-ec0e92e214d6,5,6,6,True
ebff614b-73af-4703-8f76-b845e140ebd3,5,6,6,True
c8815a14-73f5-43fe-882e-197fe9da6a00,5,6,6,True
cc36ac4e-89d2-4625-9387-c30056daa186,5,6,6,True
7d9fcf02-d903-4560-9edd-d04876bda828,5,6,6,True
626f6a16-bba4-4b2f-b8d5-fadf8097075d,5,6,6,True
8d805b96-0aa7-4d23-818e-0be2093e8035,5,6,6,True
03bba060-2c78-4070-941c-cca6617f55f8,5,6,6,True
aaf5b1f6-7aeb-49fa-a7eb-2296ef479eff,5,6,6,True
7ec170c8-a8f3-4c29-bcb1-77e9374e0dc2,5,6,6,True
6b152478-8d0a-4155-8635-f1d835fcaa24,5,6,6,True
196b1976-1379-4db3-be22-ace053ed3e36,5,6,6,True
0bde794a-067a-4388-b60f-5aba1e1e8b87,5,6,6,True
0af6cffd-2d06-4a7f-a387-568e74e40ff9,5,6,6,True
fd8beaa3-2f9c-4bfe-a598-da8d8863882c,5,6,6,True
63521fb8-8f3b-4a2a-ae6d-97eb34450670,5,6,6,True
9d49c7b0-6409-4a4f-b12f-545be1d54d5a,5,6,6,True
1b88ebe0-8f65-4b83-93d4-419dd31037ea,5,6,6,True
7d9c98ac-fa7b-4ecc-8121-b2803664c404,5,6,6,True
3dca997f-6ad3-4b29-b933-05a4710f9134,5,6,6,True
aff5301f-da44-42d2-89c3-7a05b06ee4e5,5,6,6,True
f9bb2bc1-07c5-4ee9-b98c-14597854977e,5,6,6,True
293f8639-54ec-4911-a27f-b5cd54b593c9,5,6,6,True
82a2f42b-0cb2-4148-8eb4-20a5baf92c41,5,6,6,True
2272ff2c-ee55-4c39-9d95-04e51bb3525b,5,6,6,True
d3548383-0d4d-4cf7-8d1f-780d139f1680,5,6,6,True
27dcab67-c0e2-4113-aca7-a9a3fd0a91e0,5,6,6,True
b117c4b4-c425-4700-b1a8-18e635f69ff7,5,6,6,True
4c0cb4c0-f193-4504-9dc0-f38cf6f794e2,5,6,6,True
02a7ce42-8605-4b26-a348-62488f82a0ac,5,6,6,True
20933358-d8d9-4de2-827b-984bdff8e22a,5,6,6,True
fa17348d-0a45-4ef0-bec3-1efef36acc48,5,6,6,True
5c71bf8d-81d8-4187-8ae3-197ecf3ab0d5,5,6,6,True
08b608fd-a9a7-4a71-ae3b-8ec3feeb4a8a,5,6,6,True
c5458f40-d9d5-4c0f-8d60-463cdbcdee35,5,6,6,True
7f8e1fda-aa14-42fe-aaa4-31c54b4cccbd,5,6,6,True
fd294278-daaa-4634-bf11-5f4b5d2c32bb,5,6,6,True
5f9fc7bf-6a0d-4ba4-acaf-3e24338c3df0,5,6,6,True
67556784-09a4-49cc-bdd3-6890eb7a1f8b,5,6,6,True
d8f96d36-5779-4acf-8278-22da318e7867,5,6,6,True
12a20766-b536-4670-8bec-dda49bc86bda,5,6,6,True
7aa6205f-5e70-4a3f-b361-cf720b6865cc,5,6,6,True
9ea99372-61d0-4ab3-a7ea-71dbdd6a1225,5,6,6,True
a09617c6-0fd7-4be1-ab7f-823faeed8b85,5,6,6,True
e3c10265-5d61-4b76-b752-296e6a05d0fd,5,6,6,True
190ead28-5a34-4f3c-aaf7-50da2d90396e,5,6,6,True
28743acd-0d18-4fbb-be30-72ab30424054,5,6,6,True
e78d82e6-b838-4073-9576-782530aaad2c,5,6,6,True
4c6684b9-1d48-41b3-bc59-38ea51c712dc,5,6,6,True
0e3dbe86-e9e8-4ecc-bd7d-cb85f9a56eba,5,6,6,True
b3080a65-6428-4cb9-964c-28d2498b9afc,5,6,6,True
0a9499fc-9a4d-433d-8b76-9b2debbddca4,5,6,6,True
